video_id,comment_id,author_display_name,text,published_at,like_count,clean_text,word_count,is_spam
z9or_nYdBe8,UgyCGJl4ElBKk4EBb6h4AaABAg,@haneesha123,Good time to shift manufacturing of luxury products to India. We have plenty of human resources. Indian craftsmen can make wonders if given proper financial aid.,2025-04-15T21:15:56Z,0,good time shift manufacturing luxury products india plenty human resources indian craftsmen make wonders given proper financial aid,18,0
z9or_nYdBe8,Ugz5mEfdKOPxxJ5hYaN4AaABAg,@QuocBui-b8g,This an act of stealing an act of a thief they’re killing those brands name deliberately sad China China,2025-04-15T21:15:18Z,0,act stealing act thief ’ killing brands name deliberately sad china china,12,0
z9or_nYdBe8,UgxQtTEfJ1AjEOx19b54AaABAg,@grahamdunn9000,Capitalisms true colours coming out.  Greed and corruption 😂,2025-04-15T21:14:34Z,0,capitalisms true colours coming greed corruption,6,0
z9or_nYdBe8,Ugz1J6D48kEPy06-V9B4AaABAg,@abualfawzan,You know it's accurate. you're just spewing propaganda. Beijing has issued a dictate? you're gradually becoming indian CNN,2025-04-15T21:14:06Z,0,know accurate youre spewing propaganda beijing issued dictate youre gradually becoming indian cnn,13,0
z9or_nYdBe8,UgyWiNFhiJSs43YxYvR4AaABAg,@RubenQuiroga-n5m,You hear inter ocean shipping 10 factory park mex China Japan make ideas and building one biggest shipping ports north Americans mananillo projects make mex. Few days home items,2025-04-15T21:13:14Z,1,hear inter ocean shipping factory park mex china japan make ideas building one biggest shipping ports north americans mananillo projects make mex days home items,25,0
z9or_nYdBe8,UgyrDleF8oa9QGC6UM14AaABAg,@AlmanBanks,Palki china has the card not like India the US cannot belittle them,2025-04-15T21:13:11Z,0,palki china card like india us belittle,7,0
z9or_nYdBe8,UgzhG4Ikhgiu-oMZLMt4AaABAg,@carmineforesta1067,China politics is fake I’m sorry for the Chinese people You can’t make any deal with. China because the way the doing is luck like gold deal but at the end you gone pay or the take what you own and own you.  For 40 year. China the rip off a lot countries even. America with last few democratic control. Now. President. Trump is gone fix that. But.   Is gone cost little bit  like the said.  NO PAIN. NO. GAIN MY. FRIEND,2025-04-15T21:13:01Z,0,china politics fake ’ sorry chinese people ’ make deal china way luck like gold deal end gone pay take year china rip lot countries even america last democratic control president trump gone fix gone cost little bit like said pain gain friend,43,0
z9or_nYdBe8,UgxgLtR33vAPcOttSqx4AaABAg,@simonh1552,"India is propagating Chinaphobia and portraying China is Bad. How about you, India, like others, keeps kissing Trump ass as Trump said. Ha ha ha ha ha ha 😂😂😂😂",2025-04-15T21:12:59Z,0,india propagating chinaphobia portraying china bad india like others keeps kissing trump ass trump said ha ha ha ha ha ha,21,0
z9or_nYdBe8,UgxfkCde8W8zw8t8RDx4AaABAg,@TerrenceRawlings,Why will anybody in their right mind buy a handbag for $30.000us wtf.,2025-04-15T21:12:58Z,0,anybody right mind buy handbag us wtf,7,0
z9or_nYdBe8,UgxW4EWXDGVEK7Qqb5x4AaABAg,@benfrogy,Can china eat rare earth minerals and TikTok.?  hahahahaha,2025-04-15T21:11:08Z,0,china eat rare earth minerals tiktok hahahahaha,7,0
z9or_nYdBe8,UgzQBu5QNMefLzcq4Q94AaABAg,@simonh1552,"All those so called, High Branded Famous Luxury items are made in China which is so so cheap paid to China. Just put the Logos and multiply hundreds of percent. Enormous profits.",2025-04-15T21:10:26Z,0,called high branded famous luxury items made china cheap paid china put logos multiply hundreds percent enormous profits,18,0
z9or_nYdBe8,UgwqTYVoGr0xETcTZ8V4AaABAg,@JanaSalmon,"The biggest buyer from those brands are South Korea and China itself . Just check how many billion the sales from two those countries . That’s why now you can see Asian faces as their models . Look at models or ambassadors brand of Chanel , Luis Vuitton , Dior , Fendi etc mostly now using Korean .",2025-04-15T21:09:43Z,0,biggest buyer brands south korea china check many billion sales two countries ’ see asian faces models look models ambassadors brand chanel luis vuitton dior fendi etc mostly using korean,30,0
z9or_nYdBe8,UgzlHO0qzwOt492qqSV4AaABAg,@TrendingTicker,I bought Emporio Armani Belt for 4$ in Turkey 4 years ago... still looks like new,2025-04-15T21:09:30Z,0,bought emporio armani belt turkey years ago still looks like new,11,0
z9or_nYdBe8,UgyXVp1HLU-dljT8gmp4AaABAg,@hectorc506,Shame on Stupid Trump.  He is only a Felon destroying Americas well being with his tariffs that work against America.  The president from China and VietNam are Honorable.,2025-04-15T21:09:07Z,0,shame stupid trump felon destroying americas well tariffs work america president china vietnam honorable,14,0
z9or_nYdBe8,UgyHO5omPqc_uPVf0vl4AaABAg,@johnpaul7241,"What about the R&D cost? Copying other's designs is precisely why China is being the target of tariffs. Stop stealing, that's simple.",2025-04-15T21:08:56Z,0,rd cost copying others designs precisely china target tariffs stop stealing thats simple,13,0
z9or_nYdBe8,UgyV7Y_0PQcovAknYH94AaABAg,@augustinethomas692,All garbage 🗑️ time for a change America 🇺🇸 going to be great again,2025-04-15T21:07:45Z,0,garbage time change america going great,6,0
z9or_nYdBe8,UgzH3ORP1gUYcMY_OgF4AaABAg,@captaingeorgesabunaw5958,"When will you even speak for good about china?
Everyone knows that 80% of all the big brands that exist in the EU / US are all made in china, even you know that, but you are still looking for a way to twist, even your IPHONE is made in china for less that $100 but is sold here in Europe for thousands 
Journalism is a noble profession, pls try to be impartial when reporting about China, 
50% of all what we use in the whole today is produced in China 
And you can’t do anything about that",2025-04-15T21:06:23Z,1,even speak good china everyone knows big brands exist eu us made china even know still looking way twist even iphone made china less sold europe thousands journalism noble profession pls try impartial reporting china use whole today produced china ’ anything,42,0
z9or_nYdBe8,Ugwz67OR6PTfYzfxQSd4AaABAg,@jorglay4634,Luxury handbags have never been produced in China. Everyone knows this. It's not right to show those videos.,2025-04-15T21:06:10Z,0,luxury handbags never produced china everyone knows right show videos,10,0
z9or_nYdBe8,UgxaP8bSAhDj1PSj-0Z4AaABAg,@engineercctv4511,We Europeans love china ❤❤❤❤ long live China 🎉,2025-04-15T21:04:14Z,1,europeans love china long live china,6,0
z9or_nYdBe8,Ugy_P3z6eODF2b0SyPx4AaABAg,@JenniferNIsbet-n6d,"This American does not need anything from China, Viet Nam, Bangladesh, etc.. The products are crap.",2025-04-15T21:02:39Z,0,american need anything china viet nam bangladesh etc products crap,10,0
z9or_nYdBe8,UgwQPgLUyX36jtQPnJB4AaABAg,@Buggu3,Wat a day wen the tables r turns,2025-04-15T21:02:36Z,0,wat day wen tables r turns,6,0
